DATE--TIME -UWS- UWD -LWS- LWD --SGM-- --DELTA-- ---AMB-- --DEW--- -PRECIP
0601010100 999.9 999 000.9 141 +0048.0 +09999.99 +09999.9 +09999.9 +0000.00
0601010200 999.9 999 001.0 161 +0023.5 +09999.99 +09999.9 +09999.9 +0000.00
0601010300 999.9 999 000.9 165 +0034.7 +09999.99 +09999.9 +09999.9 +0000.00
0601010400 999.9 999 000.9 169 +0026.1 +09999.99 +09999.9 +09999.9 +0000.00
0601010500 999.9 999 000.8 166 +0060.5 +09999.99 +09999.9 +09999.9 +0000.00
0601010600 999.9 999 000.8 168 +0073.3 +09999.99 +09999.9 +09999.9 +0000.00
0601010700 999.9 999 001.2 149 +0043.5 +09999.99 +09999.9 +09999.9 +0000.00
0601010800 999.9 999 001.1 151 +0044.3 +09999.99 +09999.9 +09999.9 +0000.00
0601010900 999.9 999 001.0 158 +0025.4 +09999.99 +09999.9 +09999.9 +0000.00
0601011000 999.9 999 000.7 135 +0049.7 +09999.99 +09999.9 +09999.9 +0000.00
0601011100 999.9 999 002.1 323 +0044.3 +09999.99 +09999.9 +09999.9 +0000.00
0601011200 999.9 999 003.4 324 +0036.9 +09999.99 +09999.9 +09999.9 +0000.00
0601011300 999.9 999 001.8 005 +0048.7 +09999.99 +09999.9 +09999.9 +0000.00
0601011400 999.9 999 004.4 320 +0026.2 +09999.99 +09999.9 +09999.9 +0000.00
0601011500 999.9 999 002.7 220 +0075.1 +09999.99 +09999.9 +09999.9 +0000.00
0601011600 999.9 999 001.4 079 +0095.4 +09999.99 +09999.9 +09999.9 +0000.00
0601011700 999.9 999 001.0 191 +0064.2 +09999.99 +09999.9 +09999.9 +0000.00
0601011800 999.9 999 000.5 152 +0071.3 +09999.99 +09999.9 +09999.9 +0000.00
0601011900 999.9 999 000.0 157 +0031.0 +09999.99 +09999.9 +09999.9 +0000.00
0601012000 999.9 999 001.0 168 +0095.3 +09999.99 +09999.9 +09999.9 +0000.00
0601012100 999.9 999 000.8 174 +0062.9 +09999.99 +09999.9 +09999.9 +0000.00
0601012200 999.9 999 001.4 143 +0042.6 +09999.99 +09999.9 +09999.9 +0000.00
0601012300 999.9 999 001.2 184 +0075.4 +09999.99 +09999.9 +09999.9 +0000.02
0601012400 999.9 999 003.5 029 +0077.1 +09999.99 +09999.9 +09999.9 +0000.01
0601020100 999.9 999 000.9 225 +0090.0 +09999.99 +09999.9 +09999.9 +0000.04
0601020200 999.9 999 001.2 148 +0077.6 +09999.99 +09999.9 +09999.9 +0000.00
0601020300 999.9 999 000.9 245 +0095.3 +09999.99 +09999.9 +09999.9 +0000.00
0601020400 999.9 999 001.3 029 +0078.4 +09999.99 +09999.9 +09999.9 +0000.00
0601020500 999.9 999 001.6 074 +0079.5 +09999.99 +09999.9 +09999.9 +0000.00
0601020600 999.9 999 002.5 253 +0098.2 +09999.99 +09999.9 +09999.9 +0000.04
0601020700 999.9 999 002.7 002 +0044.3 +09999.99 +09999.9 +09999.9 +0000.00
0601020800 999.9 999 001.7 173 +0068.8 +09999.99 +09999.9 +09999.9 +0000.00
0601020900 999.9 999 001.0 203 +0084.9 +09999.99 +09999.9 +09999.9 +0000.18
0601021000 999.9 999 002.1 038 +0097.5 +09999.99 +09999.9 +09999.9 +0000.22
0601021100 999.9 999 001.5 007 +0056.8 +09999.99 +09999.9 +09999.9 +0000.12
0601021200 999.9 999 001.9 005 +0041.8 +09999.99 +09999.9 +09999.9 +0000.16
0601021300 999.9 999 003.8 026 +0086.0 +09999.99 +09999.9 +09999.9 +0000.17
0601021400 999.9 999 002.5 156 +0054.5 +09999.99 +09999.9 +09999.9 +0000.17
0601021500 999.9 999 004.0 132 +0033.7 +09999.99 +09999.9 +09999.9 +0000.00
0601021600 999.9 999 001.8 345 +0060.1 +09999.99 +09999.9 +09999.9 +0000.02
0601021700 999.9 999 001.9 340 +0055.6 +09999.99 +09999.9 +09999.9 +0000.02
0601021800 999.9 999 000.7 267 +0085.6 +09999.99 +09999.9 +09999.9 +0000.00
0601021900 999.9 999 001.6 296 +0088.9 +09999.99 +09999.9 +09999.9 +0000.02
0601022000 999.9 999 002.4 203 +0101.3 +09999.99 +09999.9 +09999.9 +0000.10
0601022100 999.9 999 001.0 160 +0076.6 +09999.99 +09999.9 +09999.9 +0000.01
0601022200 999.9 999 001.8 126 +0073.5 +09999.99 +09999.9 +09999.9 +0000.11
0601022300 999.9 999 002.1 163 +0085.0 +09999.99 +09999.9 +09999.9 +0000.16
0601022400 999.9 999 000.9 152 +0051.4 +09999.99 +09999.9 +09999.9 +0000.00
0601030100 999.9 999 001.3 153 +0042.6 +09999.99 +09999.9 +09999.9 +0000.00
0601030200 999.9 999 001.1 124 +0050.6 +09999.99 +09999.9 +09999.9 +0000.00
0601030300 999.9 999 001.1 137 +0045.2 +09999.99 +09999.9 +09999.9 +0000.00
0601030400 999.9 999 001.9 293 +0062.9 +09999.99 +09999.9 +09999.9 +0000.00
0601030500 999.9 999 001.6 316 +0079.8 +09999.99 +09999.9 +09999.9 +0000.00
0601030600 999.9 999 000.8 161 +0078.5 +09999.99 +09999.9 +09999.9 +0000.00
0601030700 999.9 999 002.4 322 +0039.7 +09999.99 +09999.9 +09999.9 +0000.00
0601030800 999.9 999 001.9 154 +0026.9 +09999.99 +09999.9 +09999.9 +0000.00
